,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude,Date
163,gamba,77.16,89,100,3.15,-2.65,10,1638567534
164,sentyabrskiy,,,,,,,
165,logrono,47.21,91,20,4.61,42.4667,-2.45,1638567535
166,qaanaaq,8.85,95,100,0.74,77.484,-69.3632,1638567537
167,ust-tsilma,-9.18,99,17,3.85,65.441,52.1498,1638567538
168,doaba,53.46,27,100,2.1,33.4244,70.7364,1638567539
169,palabuhanratu,,,,,,,
170,barmer,63.64,42,0,7.16,25.75,71.3833,1638567541
171,alice springs,72.95,49,9,0,-23.7,133.8833,1638567542
172,maldonado,70.99,69,79,12.17,-34.6667,-54.9167,1638567327
173,gazli,44.24,43,89,15.21,40.1333,63.45,1638567544
174,katsuura,46.51,63,0,15.57,35.1333,140.3,1638567545
175,marrakesh,50.07,66,0,5.75,31.6315,-8.0083,1638567444
176,hellvik,33.33,92,100,10.02,59.9156,5.781,1638567547
177,urumqi,14.95,79,77,6.71,43.801,87.6005,1638567548
178,victoria,61.05,36,31,1.99,22.2855,114.1577,1638567405
179,panaba,79.18,60,96,12.64,21.2833,-88.2667,1638567550
180,maniitsoq,23.7,54,100,23.8,65.4167,-52.9,1638567551
181,linhares,72.16,87,90,5.95,-19.3911,-40.0722,1638567552
182,falealupo,,,,,,,
183,sijunjung,72.34,97,100,0.67,-0.6876,100.9537,1638567554
184,lazaro cardenas,83.41,71,65,9.66,17.9583,-102.2,1638567555
185,caravelas,74.37,90,70,7.83,-17.7125,-39.2481,1638567410
186,ribeira grande,63,94,20,5.75,38.5167,-28.7,1638567557
187,kalmunai,76.69,87,81,2.64,7.4167,81.8167,1638567558
188,samarai,82.22,78,56,5.14,-10.6167,150.6667,1638567551
189,constitucion,60.28,60,1,16.84,-35.3333,-72.4167,1638567560
190,labutta,,,,,,,
191,shimoda,52.61,63,0,24.96,34.6667,138.95,1638567556
192,souillac,77.38,83,20,8.05,-20.5167,57.5167,1638567563
193,khatanga,-18.62,98,100,14.32,71.9667,102.5,1638567564
194,mogadishu,79.56,75,3,14.81,2.0371,45.3438,1638567461
195,hobart,51.42,73,75,3,-42.8794,147.3294,1638567403
196,belushya guba,,,,,,,
197,awjilah,65.43,27,100,16.31,29.1081,21.2869,1638567568
198,srandakan,77.9,86,99,4.83,-7.9386,110.2506,1638567569
199,faya,52.32,30,14,3.89,18.3851,42.4509,1638567570
200,airai,61.72,89,90,2.3,-8.9266,125.4092,1638567571
201,faanui,81.46,70,24,20.02,-16.4833,-151.75,1638567572
202,duz,,,,,,,
203,pacific grove,56.75,79,40,3,36.6177,-121.9166,1638567364
204,tupik,1.08,88,100,2.68,54.4253,119.9327,1638567575
205,port hardy,39.67,81,75,4.61,50.6996,-127.4199,1638567576
206,warqla,,,,,,,
207,nyurba,0.21,96,100,7.9,63.2842,118.3319,1638567578
208,santa maria,81.7,47,0,11.5,-29.6842,-53.8069,1638567579
209,arraial do cabo,75.06,69,75,9.22,-22.9661,-42.0278,1638567580
210,natal,82.62,78,40,11.5,-5.795,-35.2094,1638567581
211,launceston,58.59,62,70,17.27,-41.45,147.1667,1638567582
212,alyangula,76.87,100,97,0,-13.8483,136.4192,1638567584
213,pangkalanbuun,74.34,98,96,3.31,-2.6833,111.6167,1638567397
214,dikson,-22.7,94,95,14.14,73.5069,80.5464,1638567586
215,chengde,30.09,49,1,3.04,40.9725,117.9361,1638567587
216,dong hoi,62.01,76,52,9.26,17.4833,106.6,1638567588
217,sioux lookout,26.67,86,75,8.05,50.1001,-91.917,1638567589
218,hawick,41.59,95,99,11.59,55.4227,-2.7867,1638567590
219,benguela,77.61,84,100,7.63,-12.5763,13.4055,1638567591
220,chipinge,66.74,88,4,6.06,-20.1883,32.6236,1638567592
221,provideniya,30.76,98,100,12.24,64.3833,-173.3,1638567593
222,svetlyy,33.85,82,100,18.57,54.675,20.1347,1638567594
223,juifang,,,,,,,
224,bengkulu,76.37,89,100,5.37,-3.8004,102.2655,1638567596
225,gari,19.85,85,22,7.45,59.4307,62.3497,1638567597
226,ryotsu,40.96,92,100,6.04,38.0833,138.4333,1638567598
227,mizan teferi,66.56,54,50,2.3,6.9833,35.5833,1638567600
228,partyzany,53.31,86,99,15.26,46.3314,34.7503,1638567601
229,reyes,88.45,53,78,2.42,-14.3167,-67.3833,1638567602
230,dhupgari,65.35,72,71,1.7,26.5858,89.0145,1638567603
231,gayny,-1.41,99,85,2.39,60.3071,54.3241,1638567604
232,katherine,82.72,69,90,2.3,-14.4667,132.2667,1638567564
233,ust-tarka,22.3,92,94,15.08,55.5672,75.705,1638567606
234,sri aman,77.05,94,100,0,1.2376,111.4621,1638567607
235,mahebourg,77.29,83,20,8.05,-20.4081,57.7,1638567608
236,starokucherganovka,37.33,87,0,8.95,46.3248,47.9555,1638567609
237,grand gaube,77.38,75,21,5.01,-20.0064,57.6608,1638567474
238,marzuq,60.12,24,0,3.85,14.4,46.4667,1638567611
239,pangody,-14.89,90,99,7.16,65.85,74.4859,1638567612
240,vardo,26.58,80,40,10.36,70.3705,31.1107,1638567613
241,thompson,-3.84,77,40,6.91,55.7435,-97.8558,1638567325
242,torbay,51.76,95,90,23.02,47.6666,-52.7314,1638567615
243,saint simons,70.68,54,1,6.91,31.1352,-81.3901,1638567617
244,stargard szczecinski,34.83,71,98,17,53.3367,15.0499,1638567619
245,san agustin acasaguastlan,82.71,69,98,5.97,14.95,-89.9667,1638567620
246,fortuna,52.72,100,20,0,40.5982,-124.1573,1638567621
247,acarau,81.07,80,32,15.75,-2.8856,-40.12,1638567622
248,price,54.9,32,1,0,39.5994,-110.8107,1638567624
249,thinadhoo,81.37,79,24,10.63,0.5333,72.9333,1638567489
250,tual,83.43,72,100,4.03,-5.6667,132.75,1638567626
251,manggar,79.34,87,100,10.16,-2.8833,108.2667,1638567627
252,palu,77.92,80,100,1.74,-0.8917,119.8707,1638567628
253,san vicente,76.8,40,3,3.74,-26.6167,-54.1333,1638567629
254,kijang,33.53,47,0,12.46,35.2442,129.2139,1638567630
255,alofi,80.49,83,99,12.66,-19.0595,-169.9187,1638567631
256,ruatoria,,,,,,,
257,hobyo,78.48,70,11,14.36,5.3505,48.5268,1638567633
258,haines junction,-2.25,60,100,4.61,60.7522,-137.5108,1638567569
259,hasilpur,61.2,24,0,6.8,29.7122,72.5553,1638567635
260,tigil,17.62,93,100,5.37,57.8,158.6667,1638567636
261,mitsamiouli,80.44,77,33,11.3,-11.3847,43.2844,1638567637
262,orsk,34.7,93,90,24.61,51.2049,58.5668,1638567638
263,vestmannaeyjar,36.93,71,97,5.21,63.4427,-20.2734,1638567639
264,coihaique,67.95,30,20,5.75,-45.5752,-72.0662,1638567641
265,leh,17.83,67,10,3.8,34.1667,77.5833,1638567642
266,dawei,67.08,63,10,5.48,14.0833,98.2,1638567643
267,arinos,76.51,81,91,3.67,-15.9169,-46.1056,1638567546
268,kavaratti,80.94,74,4,1.95,10.5669,72.642,1638567645
269,sorong,80.44,81,100,9.73,-0.8833,131.25,1638567646
270,burns lake,31.42,75,99,4.74,54.2331,-125.7533,1638567647
271,manzil tamim,,,,,,,
272,goderich,33.75,75,100,3.44,43.7501,-81.7165,1638567649
273,lata,52.07,89,80,0.72,40.1629,-8.3327,1638567650
274,bambous virieux,77.25,83,20,8.05,-20.3428,57.7575,1638567651
275,beloha,74.82,58,1,1.43,-25.1667,45.05,1638567652
276,arica,68.23,73,0,10.36,-18.475,-70.3042,1638567653
277,oiba,68.65,93,90,2.3,6.2639,-73.2988,1638567655
278,orlik,-1.84,82,67,2.15,52.5178,99.825,1638567656
279,kahului,78.12,86,75,11.5,20.8947,-156.47,1638567657
280,clyde river,10.63,85,90,10.36,70.4692,-68.5914,1638567658
281,luwuk,78.85,84,100,1.86,-0.9516,122.7875,1638567659
282,bosaso,73.4,65,1,2.59,11.2842,49.1816,1638567660
283,anadyr,14.49,78,75,22.37,64.75,177.4833,1638567661
284,dobele,20.75,92,42,5.21,56.625,23.2786,1638567662
285,iskandar,45.45,46,100,3.6,41.5539,69.7008,1638567663
286,praia da vitoria,64.65,82,40,4.09,38.7333,-27.0667,1638567664
287,zheleznodorozhnyy,32.7,89,100,9.44,55.7503,38.0042,1638567666
288,abha,52.05,22,0,5.75,18.2164,42.5053,1638567616
289,aquin,80.35,72,100,2.19,18.2833,-73.4,1638567668
290,matipo,67.77,90,54,3.8,-20.2839,-42.3411,1638567669
291,berezayka,27.28,95,100,7.67,57.9883,33.9036,1638567670
292,adigeni,26.47,54,0,2.28,41.6819,42.6987,1638567671
293,honningsvag,24.55,80,40,6.91,70.9821,25.9704,1638567672
294,kamaishi,42.04,76,79,8.84,39.2667,141.8833,1638567673
295,akdagmadeni,34.7,44,54,4.34,39.6603,35.8836,1638567674
296,turayf,46.65,66,0,9.22,31.6725,38.6637,1638567675
297,yuci,20.95,63,0,2.24,37.6803,112.7319,1638567676
298,iqaluit,5.7,71,40,5.99,63.7506,-68.5145,1638567678
299,mangalia,41.63,78,81,17.02,43.8,28.5833,1638567679
300,taltal,67.42,64,44,7.83,-25.4,-70.4833,1638567620
301,moctezuma,78.89,15,13,5.7,29.8,-109.6667,1638567681
302,ikwiriri,73.26,96,10,2.35,-7.9562,38.9716,1638567682
303,teguise,59.22,67,20,12.66,29.0605,-13.564,1638567683
304,gladstone,78.73,65,22,9.22,-23.85,151.25,1638567684
305,okhotsk,-18.24,88,58,16.33,59.3833,143.3,1638567685
306,port lincoln,59.41,64,9,10.25,-34.7333,135.8667,1638567393
307,poum,80.76,75,24,16.33,-20.2333,164.0167,1638567478
308,gillette,47.88,55,1,8.05,44.2911,-105.5022,1638567599
309,sitka,30.09,74,90,4.61,57.0531,-135.33,1638567689
310,touros,83.3,78,84,12.41,-5.1989,-35.4608,1638567558
311,progreso,83.1,75,75,15.5,21.2833,-89.6667,1638567591
312,chagda,,,,,,,
313,baykit,28.98,89,100,9.57,61.67,96.37,1638567692
314,san jeronimo,59.13,62,99,6.04,-11.9472,-75.2829,1638567693
315,egvekinot,12.07,94,91,5.53,66.3167,-179.1667,1638567694
316,nizhniy tsasuchey,12.4,88,8,4.68,50.5167,115.1333,1638567696
317,georgetown,76.6,86,20,1.01,5.4112,100.3354,1638567697
318,cap-aux-meules,35.62,80,90,31.07,47.3821,-61.8597,1638567698
319,shubarshi,31.03,91,55,7.92,48.5872,57.1869,1638567699
320,quatre cocos,77.09,76,17,11.27,-20.2078,57.7625,1638567700
321,ahuimanu,76.23,75,90,17.27,21.4447,-157.8378,1638567701
322,aklavik,-29.2,68,20,5.75,68.2191,-135.0107,1638567702
323,flinders,64.78,88,100,6.22,-34.5833,150.8552,1638567703
324,artyk,,,,,,,
325,krasnoselkup,-16.65,93,79,12.64,65.7,82.4667,1638567705
326,presque isle,20.5,67,90,16.11,46.6811,-68.0159,1638567427
327,taksimo,-3.06,95,81,0.56,56.3444,114.8794,1638567707
328,valkla,25,83,100,8.52,59.4744,25.3186,1638567708
329,pitea,17.69,92,100,9.62,65.3172,21.4794,1638567710
330,la ronge,10.65,72,90,6.91,55.1001,-105.2842,1638567632
331,dondo,80.11,88,37,4.52,-19.6094,34.7431,1638567712
332,barabai,74.89,98,98,0.92,-2.5833,115.3833,1638567713
333,nantucket,40.12,57,32,27.22,41.2835,-70.0995,1638567714
334,finspang,20.52,95,100,4.25,58.7058,15.7674,1638567715
335,rongcheng,42.26,55,1,2.77,30.634,117.8517,1638567716
336,polyarnyy,-1.53,92,96,4.45,69.1989,33.4478,1638567717
337,pinega,-8.21,99,15,3.62,64.7001,43.3936,1638567719
338,muswellbrook,69.33,89,100,1.45,-32.2667,150.9,1638567720
339,koumac,82.53,68,40,1.92,-20.5667,164.2833,1638567721
340,khani,33.37,53,0,7.49,41.9563,42.9566,1638567722
341,cherskiy,-8.95,97,100,13.62,68.75,161.3,1638567723
342,erdenet,18.39,36,18,5.08,49.0333,104.0833,1638567724
343,takab,28.15,56,6,3.51,36.4009,47.1133,1638567725
344,we,,,,,,,
345,kisangani,72,98,100,1.59,0.5167,25.2,1638567727
346,saint george,63.39,23,1,3,37.1041,-113.5841,1638567728
347,dolbeau,,,,,,,
348,tazovskiy,-22.99,93,45,10.92,67.4667,78.7,1638567730
349,santa rosa,75.16,74,93,13.13,14.3122,121.1114,1638567731
350,elko,57.07,40,1,5.99,41.0002,-115.5012,1638567733
351,mrirt,,,,,,,
352,ponta delgada,63.32,82,75,5.75,37.7333,-25.6667,1638567735
353,cockburn town,79.88,75,1,13.96,21.4612,-71.1419,1638567736
354,cumberland,72.79,28,1,3.44,35.0502,-78.8664,1638567737
355,totma,17.85,95,100,9.6,59.9747,42.7642,1638567738
356,takestan,36.93,52,0,2.42,36.0696,49.6959,1638567739
357,show low,61.75,30,1,6.91,34.2542,-110.0298,1638567740
358,comodoro rivadavia,71.46,30,0,21.85,-45.8667,-67.5,1638567695
359,pauini,76.23,96,100,3.18,-7.7136,-66.9764,1638567742
360,narsaq,16.02,63,78,11.12,60.9167,-46.05,1638567743
361,meridian,49.84,73,1,1.01,43.6121,-116.3915,1638567744
362,santa rosalia,72.99,38,3,6.06,27.3167,-112.2833,1638567745
363,belmonte,75.7,90,81,4.47,-15.8631,-38.8828,1638567746
364,altamira,78.89,94,40,1.14,-3.2033,-52.2064,1638567748
365,puerto carreno,91.38,49,20,6.91,6.189,-67.4859,1638567749
366,sola,81.27,83,90,4.61,-13.8833,167.55,1638567750
367,the valley,82.49,74,20,8.05,18.217,-63.0578,1638567751
368,kemin,42.1,58,97,5.01,42.7846,75.6892,1638567642
369,paracuru,82.11,79,37,11.12,-3.41,-39.0306,1638567753
370,richards bay,69.49,86,100,1.7,-28.783,32.0377,1638567754
371,cabedelo,83.07,80,51,10.85,-6.9811,-34.8339,1638567755
372,taoudenni,66.56,15,84,12.57,22.6783,-3.9836,1638567717
373,tiksi,-32.28,99,49,5.86,71.6872,128.8694,1638567757
374,adrar,67.37,22,100,10.63,20.5022,-10.0711,1638567758
375,flagstaff,59.05,31,1,1.99,35.1981,-111.6513,1638567553
376,kangaatsiaq,18.9,72,86,22.95,68.3065,-53.4641,1638567760
377,abu zabad,74.12,29,1,11.63,12.35,29.25,1638567761
378,bilibino,-19.97,98,100,13.18,68.0546,166.4372,1638567762
379,lafiagi,80.29,23,97,4.27,8.8667,5.4167,1638567763
380,fayaoue,79.61,68,100,10.49,-20.65,166.5333,1638567765
381,yumen,26.24,37,0,14.38,40.2833,97.2,1638567766
382,xingyi,41.49,95,16,2.08,24.1877,102.817,1638567767
383,bom jesus,77.92,75,96,1.32,-9.0744,-44.3586,1638567574
384,los llanos de aridane,62.13,69,75,7,28.6585,-17.9182,1638567769
385,monywa,67.75,78,91,2.48,22.1167,95.1333,1638567770
386,shchuchye,,,,,,,
387,fare,81.27,71,95,18.61,-16.7,-151.0167,1638567772
388,bodaybo,9.05,93,91,3.4,57.8506,114.1933,1638567773
389,sao joao da barra,71.69,80,78,6.38,-21.6403,-41.0511,1638567774
390,bay roberts,54,92,100,7,47.5999,-53.2648,1638567775
391,gioia tauro,54.23,86,97,4.45,38.424,15.899,1638567776
392,yulara,76.84,36,0,5.75,-25.2406,130.9889,1638567638
393,port elizabeth,61.09,82,0,2.3,-33.918,25.5701,1638567775
394,great yarmouth,40.01,91,100,5.7,52.6083,1.7305,1638567589
395,warrnambool,58.8,72,85,15.68,-38.3833,142.4833,1638567780
396,vung tau,74.95,85,82,4,10.346,107.0843,1638567781
397,pochutla,88.83,53,5,7.31,15.7432,-96.4661,1638567782
398,omboue,76.19,91,100,4.74,-1.5746,9.2618,1638567493
399,deputatskiy,-32.94,91,100,6.15,69.3,139.9,1638567784
400,anloga,84.42,80,100,11.12,5.7947,0.8973,1638567785
401,tautira,84.22,76,20,16.31,-17.7333,-149.15,1638567786
402,jiangyou,47.5,67,78,3.36,31.7667,104.7167,1638567787
403,pevek,-4.31,89,100,18.88,69.7008,170.3133,1638567788
404,nagato,40.32,58,6,22.26,34.3833,131.2,1638567790
405,waingapu,79.41,85,100,3.87,-9.6567,120.2641,1638567791
406,chapais,6.58,91,100,10.4,49.7834,-74.8492,1638567792
407,aborlan,77.2,90,87,8.01,9.4352,118.5492,1638567793
408,port-gentil,76.96,88,40,0,-0.7193,8.7815,1638567630
409,konakovo,29.32,87,100,11.14,56.7,36.7667,1638567795
410,tuatapere,61.83,98,100,3.42,-46.1333,167.6833,1638567796
411,grindavik,28.87,100,75,6.91,63.8424,-22.4338,1638567797
412,hunza,,,,,,,
413,vao,76.46,77,93,14.65,-22.6667,167.4833,1638567799
414,general pico,60.94,92,99,9.91,-35.6566,-63.7568,1638567674
415,jalhay,35.85,88,100,8.99,50.5588,5.9676,1638567801
416,puerto baquerizo moreno,74.39,73,75,16.11,-0.9,-89.6,1638567802
417,porto de moz,82.71,65,97,1.79,-1.7483,-52.2383,1638567803
418,kemijarvi,6.33,97,59,4.14,66.7131,27.4306,1638567804
419,ojinaga,78.04,33,1,0,29.5667,-104.4167,1638567805
420,kosh-agach,14.02,32,100,4.65,50,88.6667,1638567807
421,lamu,82.62,81,18,7.4,-2.2717,40.902,1638567808
422,kashan,48.6,49,0,1.77,33.9831,51.4364,1638567809
